iter	Passed	Remaining
0	159	159000
1	167	83644
2	176	58546
3	185	46173
4	190	37997
5	201	33331
6	210	29856
7	219	27169
8	230	25433
9	240	23828
10	250	22566
11	259	21390
12	271	20586
13	279	19717
14	291	19137
15	298	18368
16	307	17799
17	317	17324
18	328	16951
19	340	16696
20	348	16248
21	357	15903
22	365	15518
23	374	15234
24	382	14928
25	389	14579
26	399	14413
27	407	14157
28	418	14021
29	427	13832
30	440	13782
31	451	13672
32	459	13478
33	468	13310
34	477	13165
35	488	13080
36	501	13041
37	511	12940
38	520	12828
39	529	12698
40	538	12600
41	552	12599
42	560	12485
43	570	12393
44	578	12275
45	588	12200
46	596	12100
47	606	12038
48	614	11935
49	623	11840
50	632	11776
51	640	11683
52	654	11690
53	665	11652
54	673	11570
55	686	11570
56	700	11588
57	712	11571
58	723	11542
59	734	11507
60	744	11458
61	753	11404
62	766	11405
63	779	11398
64	789	11354
65	799	11311
66	806	11229
67	814	11169
68	822	11103
69	838	11137
70	851	11141
71	862	11110
72	871	11065
73	881	11034
74	888	10963
75	901	10964
76	913	10954
77	921	10893
78	931	10865
79	941	10823
80	948	10761
81	959	10741
82	968	10705
83	977	10660
84	990	10659
85	997	10605
86	1008	10584
87	1017	10548
88	1026	10503
89	1034	10461
90	1042	10411
91	1056	10430
92	1066	10402
93	1074	10358
94	1083	10326
95	1092	10288
96	1103	10271
97	1111	10231
98	1119	10188
99	1127	10145
100	1136	10113
101	1147	10101
102	1156	10070
103	1165	10037
104	1173	9999
105	1181	9960
106	1188	9915
107	1199	9909
108	1212	9914
109	1222	9894
110	1236	9899
111	1244	9869
112	1252	9827
113	1261	9802
114	1270	9777
115	1280	9761
116	1289	9729
117	1298	9708
118	1306	9674
119	1317	9661
120	1329	9661
121	1341	9653
122	1350	9630
123	1360	9610
124	1370	9591
125	1379	9568
126	1388	9543
127	1399	9536
128	1410	9522
129	1429	9564
130	1444	9584
131	1455	9568
132	1466	9560
133	1494	9660
134	1520	9741
135	1534	9748
136	1545	9734
137	1561	9752
138	1572	9742
139	1585	9741
140	1599	9744
141	1611	9739
142	1620	9709
143	1629	9688
144	1638	9661
145	1650	9652
146	1664	9660
147	1678	9665
148	1697	9696
149	1710	9695
150	1719	9666
151	1731	9658
152	1743	9651
153	1764	9691
154	1787	9743
155	1798	9729
156	1806	9699
157	1815	9674
158	1825	9655
159	1834	9629
160	1843	9608
161	1855	9598
162	1865	9578
163	1874	9554
164	1885	9542
165	1896	9527
166	1912	9541
167	1924	9529
168	1932	9502
169	1941	9479
170	1951	9460
171	1962	9447
172	1972	9429
173	1980	9401
174	1990	9382
175	2001	9372
176	2012	9355
177	2022	9341
178	2035	9333
179	2048	9331
180	2064	9339
181	2073	9318
182	2083	9300
183	2092	9281
184	2103	9266
185	2114	9255
186	2129	9256
187	2139	9240
188	2148	9220
189	2165	9230
190	2177	9223
191	2189	9214
192	2205	9223
